"Notes","County","County Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Orleans Parish, LA","22071",16,2644183,0.61,0.35,0.98
,"St. Bernard Parish, LA","22087",43,319595,13.45,9.74,18.12
,"Tangipahoa Parish, LA","22105",11,955452,1.15,0.57,2.06
,"Cumberland County, ME","23005",10,2123392,0.47,0.23,0.87
,"Kennebec County, ME","23011",11,873086,1.26,0.63,2.25
,"Allegany County, MD","24001",134,480814,27.87,23.15,32.59
,"Anne Arundel County, MD","24003",903,4118596,21.92,20.49,23.35
,"Baltimore County, MD","24005",1538,5874423,26.18,24.87,27.49
,"Calvert County, MD","24009",120,655742,18.30,15.03,21.57
,"Caroline County, MD","24011",68,234862,28.95,22.48,36.71
,"Carroll County, MD","24013",237,1208893,19.60,17.11,22.10
,"Cecil County, MD","24015",270,729924,36.99,32.58,41.40
,"Charles County, MD","24017",162,1174447,13.79,11.67,15.92
,"Dorchester County, MD","24019",58,227012,25.55,19.40,33.03
,"Frederick County, MD","24021",250,1939978,12.89,11.29,14.48
,"Garrett County, MD","24023",30,201126,14.92,10.06,21.29
,"Harford County, MD","24025",404,1823204,22.16,20.00,24.32
,"Howard County, MD","24027",177,2322695,7.62,6.50,8.74
,"Kent County, MD","24029",22,135447,16.24,10.18,24.59
,"Montgomery County, MD","24031",457,7403166,6.17,5.61,6.74
,"Prince George's County, MD","24033",597,6544583,9.12,8.39,9.85
,"Queen Anne's County, MD","24035",70,360504,19.42,15.14,24.53
,"St. Mary's County, MD","24037",138,801956,17.21,14.34,20.08
,"Somerset County, MD","24039",46,176025,26.13,19.13,34.86
,"Talbot County, MD","24041",43,262746,16.37,11.84,22.04
,"Washington County, MD","24043",357,1076689,33.16,29.72,36.60
,"Wicomico County, MD","24045",139,730567,19.03,15.86,22.19
,"Worcester County, MD","24047",64,372008,17.20,13.25,21.97
,"Baltimore city, MD","24510",2992,4062055,73.66,71.02,76.30
,"Barnstable County, MA","25001",12,1568740,0.76,0.40,1.34
,"Berkshire County, MA","25003",13,887923,1.46,0.78,2.50
,"Bristol County, MA","25005",29,4026670,0.72,0.48,1.03
,"Essex County, MA","25009",26,5618801,0.46,0.30,0.68
,"Hampden County, MA","25013",44,3248965,1.35,0.98,1.82
,"Hampshire County, MA","25015",15,1135647,1.32,0.74,2.18
,"Middlesex County, MA","25017",26,11360547,0.23,0.15,0.34
,"Norfolk County, MA","25021",19,5039835,0.38,0.23,0.59
,"Plymouth County, MA","25023",15,3706542,0.40,0.23,0.67
,"Suffolk County, MA","25025",16,5511936,0.29,0.17,0.47
,"Worcester County, MA","25027",46,5963743,0.77,0.56,1.03
,"Bay County, MI","26017",40,720393,5.55,3.97,7.56
,"Berrien County, MI","26021",10,1071532,0.93,0.45,1.72
,"Calhoun County, MI","26025",10,936485,1.07,0.51,1.96
,"Genesee County, MI","26049",48,2827491,1.70,1.25,2.25
,"Hillsdale County, MI","26059",16,319497,5.01,2.86,8.13
,"Ingham County, MI","26065",23,2018956,1.14,0.72,1.71
,"Jackson County, MI","26075",162,1114026,14.54,12.30,16.78
,"Kalamazoo County, MI","26077",12,1845200,0.65,0.34,1.14
,"Lapeer County, MI","26087",52,618708,8.40,6.28,11.02
,"Lenawee County, MI","26091",29,687314,4.22,2.83,6.06
,"Livingston County, MI","26093",10,1360462,0.74,0.35,1.35
,"Macomb County, MI","26099",281,6131785,4.58,4.05,5.12
,"Midland County, MI","26111",19,584998,3.25,1.96,5.07
,"Muskegon County, MI","26121",10,1228105,0.81,0.39,1.50
,"Oakland County, MI","26125",963,8877006,10.85,10.16,11.53
,"Saginaw County, MI","26145",110,1324624,8.30,6.75,9.86
,"St. Clair County, MI","26147",49,1118144,4.38,3.24,5.79
,"Tuscola County, MI","26157",16,368495,4.34,2.48,7.05
,"Washtenaw County, MI","26161",34,2580214,1.32,0.91,1.84
,"Wayne County, MI","26163",144,12297950,1.17,0.98,1.36
,"Dakota County, MN","27037",15,3072226,0.49,0.27,0.81
,"Hennepin County, MN","27053",74,8853263,0.84,0.66,1.05
,"Ramsey County, MN","27123",25,3806194,0.66,0.43,0.97
,"Forrest County, MS","28035",14,537570,2.60,1.42,4.37
,"Hinds County, MS","28049",13,1564145,0.83,0.44,1.42
,"Lee County, MS","28081",14,587757,2.38,1.30,4.00
,"Marshall County, MS","28093",11,242378,4.54,2.27,8.12
,"Clay County, MO","29047",15,1785469,0.84,0.47,1.39
,"Franklin County, MO","29071",12,736876,1.63,0.84,2.84
,"Jackson County, MO","29095",36,4988558,0.72,0.51,1.00
,"Jefferson County, MO","29099",27,1596196,1.69,1.11,2.46
,"St. Charles County, MO","29183",27,2871577,0.94,0.62,1.37
,"St. Louis County, MO","29189",54,6952759,0.78,0.58,1.01
,"St. Louis city, MO","29510",12,2042396,0.59,0.30,1.03
,"Lancaster County, NE","31109",10,2265855,0.44,0.21,0.81
,"Clark County, NV","32003",35,16165230,0.22,0.15,0.30
,"Washoe County, NV","32031",59,3409775,1.73,1.32,2.23
,"Carson City, NV","32510",13,400671,3.24,1.73,5.55
,"Hillsborough County, NH","33011",13,2959496,0.44,0.23,0.75
,"Atlantic County, NJ","34001",10,1896975,0.53,0.25,0.97
,"Bergen County, NJ","34003",20,6642481,0.30,0.18,0.47
,"Burlington County, NJ","34005",29,3212383,0.90,0.60,1.30
,"Camden County, NJ","34007",11,3630220,0.30,0.15,0.54
,"Essex County, NJ","34013",11,5836281,0.19,0.09,0.34
,"Hudson County, NJ","34017",11,4867604,0.23,0.11,0.40
,"Middlesex County, NJ","34023",13,5953450,0.22,0.12,0.37
,"Monmouth County, NJ","34025",13,4438301,0.29,0.16,0.50
,"Morris County, NJ","34027",13,3536768,0.37,0.20,0.63
,"Ocean County, NJ","34029",32,4453438,0.72,0.49,1.01
,"Bernalillo County, NM","35001",23,4729722,0.49,0.31,0.73
,"Albany County, NY","36001",208,2182454,9.53,8.24,10.83
,"Bronx County, NY","36005",25,9797575,0.26,0.17,0.38
,"Broome County, NY","36007",13,1358398,0.96,0.51,1.64
