"Notes","County","County Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Garvin County, OK","40049",20,193919,10.31,6.30,15.93
,"Grady County, OK","40051",20,383170,5.22,3.19,8.06
,"Jackson County, OK","40065",16,177761,Unreliable,5.14,14.62
,"Kay County, OK","40071",37,313663,11.80,8.31,16.26
,"Kiowa County, OK","40075",14,63228,Unreliable,12.11,37.15
,"Le Flore County, OK","40079",27,348577,7.75,5.10,11.27
,"Lincoln County, OK","40081",26,244080,10.65,6.96,15.61
,"Logan County, OK","40083",30,324368,9.25,6.24,13.20
,"McClain County, OK","40087",19,270374,Unreliable,4.23,10.97
,"McCurtain County, OK","40089",33,230328,14.33,9.86,20.12
,"McIntosh County, OK","40091",24,139539,17.20,11.02,25.59
,"Marshall County, OK","40095",10,114764,Unreliable,4.18,16.02
,"Mayes County, OK","40097",30,286555,10.47,7.06,14.95
,"Murray County, OK","40099",14,97248,Unreliable,7.87,24.15
,"Muskogee County, OK","40101",48,484890,9.90,7.30,13.12
,"Nowata County, OK","40105",13,72637,Unreliable,9.53,30.60
,"Oklahoma County, OK","40109",581,5459268,10.64,9.78,11.51
,"Okmulgee County, OK","40111",31,272663,11.37,7.72,16.14
,"Osage County, OK","40113",26,332871,7.81,5.10,11.44
,"Ottawa County, OK","40115",29,221636,13.08,8.76,18.79
,"Pawnee County, OK","40117",19,115073,Unreliable,9.94,25.78
,"Payne County, OK","40119",48,566710,8.47,6.25,11.23
,"Pittsburg County, OK","40121",44,309827,14.20,10.32,19.06
,"Pontotoc County, OK","40123",33,267276,12.35,8.50,17.34
,"Pottawatomie County, OK","40125",68,504631,13.48,10.46,17.08
,"Pushmataha County, OK","40127",11,78046,Unreliable,7.04,25.22
,"Rogers County, OK","40131",50,637314,7.85,5.82,10.34
,"Seminole County, OK","40133",24,175316,13.69,8.77,20.37
,"Sequoyah County, OK","40135",25,289023,8.65,5.60,12.77
,"Stephens County, OK","40137",27,307823,8.77,5.78,12.76
,"Tulsa County, OK","40143",451,4480367,10.07,9.14,11.00
,"Wagoner County, OK","40145",51,545696,9.35,6.96,12.29
,"Washington County, OK","40147",40,362924,11.02,7.87,15.01
,"Washita County, OK","40149",10,79510,Unreliable,6.03,23.13
,"Woodward County, OK","40153",10,146015,Unreliable,3.28,12.59
,"Baker County, OR","41001",27,112325,24.04,15.84,34.97
,"Benton County, OR","41003",43,625969,6.87,4.97,9.25
,"Clackamas County, OR","41005",295,2839746,10.39,9.20,11.57
,"Clatsop County, OR","41007",48,270351,17.75,13.09,23.54
,"Columbia County, OR","41009",53,355701,14.90,11.16,19.49
,"Coos County, OR","41011",115,444403,25.88,21.15,30.61
,"Crook County, OR","41013",23,157407,14.61,9.26,21.92
,"Curry County, OR","41015",40,158277,25.27,18.05,34.41
,"Deschutes County, OR","41017",160,1269480,12.60,10.65,14.56
,"Douglas County, OR","41019",149,760722,19.59,16.44,22.73
,"Harney County, OR","41025",17,50775,Unreliable,19.50,53.61
,"Hood River County, OR","41027",12,162116,Unreliable,3.82,12.93
,"Jackson County, OR","41029",250,1505913,16.60,14.54,18.66
,"Jefferson County, OR","41031",42,161691,25.98,18.72,35.11
,"Josephine County, OR","41033",119,598786,19.87,16.30,23.44
,"Klamath County, OR","41035",120,466650,25.72,21.11,30.32
,"Lake County, OR","41037",10,54935,Unreliable,8.73,33.48
,"Lane County, OR","41039",372,2583389,14.40,12.94,15.86
,"Lincoln County, OR","41041",101,335870,30.07,24.21,35.94
,"Linn County, OR","41043",144,863648,16.67,13.95,19.40
,"Malheur County, OR","41045",23,213433,10.78,6.83,16.17
,"Marion County, OR","41047",244,2352712,10.37,9.07,11.67
,"Multnomah County, OR","41051",600,5565197,10.78,9.92,11.64
,"Polk County, OR","41053",46,570939,8.06,5.90,10.75
,"Tillamook County, OR","41057",38,182968,20.77,14.70,28.51
,"Umatilla County, OR","41059",81,538863,15.03,11.94,18.68
,"Union County, OR","41061",19,182738,Unreliable,6.26,16.24
,"Wasco County, OR","41065",31,182506,16.99,11.54,24.11
,"Washington County, OR","41067",302,4063343,7.43,6.59,8.27
,"Yamhill County, OR","41071",80,730001,10.96,8.69,13.64
,"Adams County, PA","42001",25,715891,3.49,2.26,5.16
,"Allegheny County, PA","42003",460,8576151,5.36,4.87,5.85
,"Armstrong County, PA","42005",22,465070,4.73,2.96,7.16
,"Beaver County, PA","42007",61,1170618,5.21,3.99,6.69
,"Berks County, PA","42011",116,2916465,3.98,3.25,4.70
,"Blair County, PA","42013",44,870290,5.06,3.67,6.79
,"Bradford County, PA","42015",18,428160,Unreliable,2.49,6.64
,"Bucks County, PA","42017",144,4392233,3.28,2.74,3.81
,"Butler County, PA","42019",52,1307933,3.98,2.97,5.21
,"Cambria County, PA","42021",50,944350,5.29,3.93,6.98
,"Carbon County, PA","42025",24,449043,5.34,3.42,7.95
,"Centre County, PA","42027",28,1124039,2.49,1.66,3.60
,"Chester County, PA","42029",108,3620831,2.98,2.42,3.55
,"Clarion County, PA","42031",11,271662,Unreliable,2.02,7.25
,"Clearfield County, PA","42033",17,562283,Unreliable,1.76,4.84
,"Clinton County, PA","42035",14,274687,Unreliable,2.79,8.55
,"Columbia County, PA","42037",17,463363,Unreliable,2.14,5.87
,"Crawford County, PA","42039",22,603143,3.65,2.29,5.52
,"Cumberland County, PA","42041",57,1734677,3.29,2.49,4.26
,"Dauphin County, PA","42043",79,1920186,4.11,3.26,5.13
,"Delaware County, PA","42045",179,3948423,4.53,3.87,5.20
,"Elk County, PA","42047",11,214301,Unreliable,2.56,9.18
,"Erie County, PA","42049",92,1929319,4.77,3.84,5.85
,"Fayette County, PA","42051",75,926665,8.09,6.37,10.15
,"Franklin County, PA","42055",38,1076562,3.53,2.50,4.84
,"Greene County, PA","42059",15,259906,Unreliable,3.23,9.52
,"Huntingdon County, PA","42061",15,318549,Unreliable,2.64,7.77
