"Notes","County","County Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Autauga County, AL","01001",12,376497,Unreliable,1.65,5.57
,"Baldwin County, AL","01003",69,1255530,5.50,4.28,6.96
,"Blount County, AL","01009",11,398946,Unreliable,1.38,4.93
,"Calhoun County, AL","01015",28,820901,3.41,2.27,4.93
,"Chilton County, AL","01021",11,303279,Unreliable,1.81,6.49
,"Coffee County, AL","01031",11,343368,Unreliable,1.60,5.73
,"Colbert County, AL","01033",12,381184,Unreliable,1.63,5.50
,"Cullman County, AL","01043",17,560626,Unreliable,1.77,4.86
,"Dale County, AL","01045",12,349029,Unreliable,1.78,6.01
,"Dallas County, AL","01047",15,306557,Unreliable,2.74,8.07
,"DeKalb County, AL","01049",16,492601,Unreliable,1.86,5.27
,"Elmore County, AL","01051",16,548794,Unreliable,1.67,4.73
,"Escambia County, AL","01053",20,266098,7.52,4.59,11.61
,"Etowah County, AL","01055",24,728991,3.29,2.11,4.90
,"Houston County, AL","01069",22,700574,3.14,1.97,4.75
,"Jackson County, AL","01071",11,373339,Unreliable,1.47,5.27
,"Jefferson County, AL","01073",158,4603413,3.43,2.90,3.97
,"Lauderdale County, AL","01077",19,644161,Unreliable,1.78,4.61
,"Lee County, AL","01081",21,965243,2.18,1.35,3.33
,"Limestone County, AL","01083",18,565680,Unreliable,1.89,5.03
,"Madison County, AL","01089",78,2297413,3.40,2.68,4.24
,"Marshall County, AL","01095",21,643060,3.27,2.02,4.99
,"Mobile County, AL","01097",106,2869326,3.69,2.99,4.40
,"Montgomery County, AL","01101",37,1601791,2.31,1.63,3.18
,"Morgan County, AL","01103",25,828374,3.02,1.95,4.46
,"Russell County, AL","01113",18,370468,Unreliable,2.88,7.68
,"St. Clair County, AL","01115",19,572756,Unreliable,2.00,5.18
,"Shelby County, AL","01117",38,1337536,2.84,2.01,3.90
,"Talladega County, AL","01121",10,575343,Unreliable,0.83,3.20
,"Tallapoosa County, AL","01123",11,290563,Unreliable,1.89,6.77
,"Tuscaloosa County, AL","01125",26,1337081,1.94,1.27,2.85
,"Walker County, AL","01127",16,471016,Unreliable,1.94,5.52
,"Anchorage Borough, AK","02020",168,2014114,8.34,7.08,9.60
,"Fairbanks North Star Borough, AK","02090",41,670925,6.11,4.39,8.29
